■ 월별 박스오피스,,,,,,,,,,,,
- 조회일: 2022-01-20,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 202101~202106   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,,,
,,,,,,,,,,,,
● 2021년 06월,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
69,이보다 더 좋을 순 없다,1998-03-14,"5,831,500",0.0%,"6,089,500",921,"1,008",71,97,미국,미국,워터홀컴퍼니(주)
70,테넷,2020-08-26,"6,455,000",0.0%,"18,481,532,170",920,"2,001,171",30,250,미국,미국,워너브러더스 코리아(주)
71,쿠사마 야요이: 무한의 세계,2021-05-19,"7,319,840",0.0%,"28,813,510",919,"3,507",20,201,미국,미국,오드
72,와이키키 브라더스,2001-10-26,"7,147,000",0.0%,"8,795,900",893,"1,156",25,278,한국,한국,CJ ENM
73,포겟 미 낫-엄마에게 쓰는 편지,2021-06-03,"7,729,110",0.0%,"12,391,110",878,"1,374",33,262,한국,한국,커넥트픽쳐스(주)
74,빅 피쉬,2004-03-05,"7,394,000",0.0%,"600,763,700",860,"85,594",29,154,미국,미국,"(주)팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜"
75,모리타니안,2021-03-17,"4,123,000",0.0%,"371,145,560",824,"41,895",2,4,미국,미국,(주)디스테이션
76,웨이 다운,2021-03-11,"3,850,000",0.0%,"124,806,030",770,"14,513",2,4,스페인,스페인,(주)누리픽쳐스
77,스윙키즈,2018-12-19,"7,329,000",0.0%,"12,103,993,072",734,"1,474,056",9,28,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
78,마세티 킬즈,2013-11-21,"5,338,690",0.0%,"23,719,060",720,"5,879",18,125,미국,미국,"(주)제이앤씨미디어그룹,(주)팝엔터테인먼트"
79,"좋은 빛, 좋은 공기",2021-04-28,"3,814,500",0.0%,"66,683,590",694,"9,631",5,29,한국,한국,(주)엣나인필름
79,부활,2020-07-09,"6,045,500",0.0%,"183,683,750",694,"23,075",2,8,한국,한국,(주)중헌홀딩스
81,명탐정 코난: 비색의 탄환,2021-04-16,"6,520,540",0.0%,"2,173,296,640",692,"230,672",20,99,일본,일본,(주)씨제이이엔엠
82,광대: 소리꾼,,"6,020,000",0.0%,"12,954,000",659,"1,409",2,12,한국,한국,트윈플러스파트너스(주)
83,북샵,2021-06-24,"4,617,000",0.0%,"4,617,000",640,640,9,51,스페인,스페인,(주)콘텐츠판다
84,"쿠오바디스,아이다",2021-05-19,"4,884,440",0.0%,"31,258,380",639,"3,772",21,162,기타,기타,M&M 인터내셔널
85,그녀가 사라졌다,2021-03-17,"3,129,000",0.0%,"66,094,000",625,"7,807",2,3,호주,호주,(주)스튜디오디에이치엘
86,미드웨이,2019-12-31,"4,301,500",0.0%,"8,236,257,530",562,"959,231",24,187,미국,미국,(주)누리픽쳐스
87,대해적,,"1,063,000",0.0%,"12,779,000",527,"6,039",1,12,미국,미국,
88,2067,2021-06-03,"4,647,600",0.0%,"4,647,600",509,509,36,228,호주,호주,예지림엔터테인먼트
89,라야와 마지막 드래곤,2021-03-04,"2,500,000",0.0%,"2,975,322,390",500,"322,186",2,3,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
90,전쟁과 평화,1977-09-27,"964,000",0.0%,"29,958,774",482,"15,410",1,8,미국,미국,
91,데미트리아스,1977-02-18,"936,000",0.0%,"14,325,000",468,"7,121",1,12,미국,미국,
91,우리는 매일매일,2021-06-30,"3,795,000",0.0%,"6,358,000",468,834,30,38,한국,한국,㈜인디스토리
93,극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발,2021-04-28,"3,338,100",0.0%,"242,917,500",467,"29,610",9,46,영국,영국,주식회사 컨텐츠썬
94,레일로드 워,2021-06-30,"3,898,970",0.0%,"3,898,970",466,466,45,56,중국,중국,(주)디스테이션
95,라 트라비아타,,"12,653,100",0.0%,"12,758,100",457,460,10,77,이탈리아,이탈리아,일미디어
96,꽃다발 같은 사랑을 했다,2021-07-14,"4,138,000",0.0%,"4,138,000",438,438,1,4,일본,일본,"(주)리틀빅픽쳐스,(주)레드로버"
97,카라마조프가의 형제들,,"844,000",0.0%,"12,352,000",417,"5,682",1,12,미국,미국,
98,폭력의 그림자,2021-06-17,"3,141,600",0.0%,"3,141,600",416,416,33,180,영국,영국,(주)디오시네마
99,"식물카페, 온정",2021-06-24,"3,355,740",0.0%,"3,355,740",410,410,19,101,한국,한국,매치컷(주)
100,뜨거운 밤이 열리면,,"2,000,000",0.0%,"2,000,000",400,400,20,20,한국,한국,
101,블랙 위도우,2021-07-07,"5,925,000",0.0%,"5,925,000",395,395,1,1,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
102,신 테니스의 왕자 효테이 vs 릿카이 : 게임 오브 퓨처 후편,2021-06-09,"2,884,000",0.0%,"2,884,000",368,368,11,119,일본,일본,(주)얼리버드픽쳐스
103,전주에서 길을 묻다,2021-06-01,"773,000",0.0%,"773,000",360,360,1,46,한국,한국,주식회사 씨엠닉스
104,트립 투 그리스,2021-07-08,"2,704,000",0.0%,"2,704,000",338,338,3,3,영국,영국,"찬란,하이, 스트레인저"
105,황태자의 첫사랑,,"653,000",0.0%,"26,196,000",324,"12,135",1,12,미국,미국,
106,아이윌 송,2021-07-01,"2,817,000",0.0%,"2,817,000",313,313,3,4,한국,한국,(주)라이크콘텐츠
107,열아홉,2021-06-30,"2,039,500",0.0%,"2,039,500",310,310,26,37,한국,한국,(주)리틀빅픽쳐스
108,젊은엄마의 실제정사,2021-06-17,"1,547,000",0.0%,"1,547,000",309,309,20,20,한국,한국,노바엔터테인먼트
109,"조제, 호랑이 그리고 물고기들",2021-03-31,"3,225,870",0.0%,"223,274,310",305,"24,571",2,18,일본,일본,(주)팝엔터테인먼트
110,보리수,,"604,000",0.0%,"5,701,000",297,"2,695",1,12,독일,독일,
110,자산어보,2021-03-31,"1,732,000",0.0%,"2,998,105,490",297,"338,905",2,7,한국,한국,메가박스중앙(주)플러스엠
112,푸드 몬스터,2021-05-19,"1,820,000",0.0%,"11,742,860",292,"1,434",1,11,중국,중국,(주)이놀미디어
113,검은 난초,,"568,000",0.0%,"5,950,000",284,"2,527",1,9,미국,미국,
114,네가 내가 되었으면 좋겠다,2021-06-01,"673,000",0.0%,"673,000",280,280,1,42,한국,한국,주식회사 씨엠닉스
115,중경삼림,1995-09-02,"2,391,500",0.0%,"643,314,570",276,"68,944",3,49,홍콩,홍콩,(주)디스테이션
116,범털 2: 쩐의 전쟁,2021-05-13,"599,000",0.0%,"21,213,890",271,"4,054",2,22,한국,한국,(주)피터팬픽쳐스
117,전선의 우정,,"536,000",0.0%,"1,298,000",268,649,1,12,미국,"미국,영국,이탈리아",
117,고스트타운의 결투,,"598,500",0.0%,"10,441,500",268,"5,188",1,18,미국,미국,
119,백조,,"525,000",0.0%,"7,132,000",260,"3,301",1,9,미국,미국,
120,고질라 VS. 콩,2021-03-25,"1,250,000",0.0%,"6,772,634,130",250,"703,485",2,3,미국,미국,워너브러더스 코리아(주)
121,바람과 함께 사라지다,1972-12-23,"1,186,500",0.0%,"110,018,410",249,"29,559",2,29,미국,미국,(주)피터팬픽쳐스
122,"2021 스웨그 에이지 : 외쳐, 조선!",2021-05-13,"2,148,300",0.0%,"34,736,900",244,"3,615",13,60,한국,한국,(주)위즈온센
123,비커밍 아스트리드,2021-05-12,"1,870,470",0.0%,"32,290,940",241,"3,698",9,84,기타,기타,알토미디어(주)
124,패터슨,2017-12-21,"2,231,000",0.0%,"567,250,208",240,"68,510",1,5,프랑스,"프랑스,독일,미국",그린나래미디어(주)
125,위대한 카루소,,"472,000",0.0%,"5,832,000",236,"2,881",1,12,미국,미국,
126,3인의 난폭한 사람들,,"580,000",0.0%,"2,320,000",232,"1,154",1,9,미국,미국,
126,여호,,"464,000",0.0%,"5,256,000",232,"2,206",1,9,영국,영국,
128,무정,,"462,000",0.0%,"6,381,000",231,"2,898",1,9,한국,한국,
129,세자매,2021-01-27,"1,095,000",0.0%,"703,335,930",219,"83,505",4,9,한국,한국,(주)리틀빅픽쳐스
130,아르코 라이브 뮤지컬 호프,2021-03-03,"3,983,000",0.0%,"94,146,000",216,"4,725",1,6,한국,한국,(주)아이디어랩
131,정말 먼 곳,2021-03-18,"1,035,000",0.0%,"87,186,850",207,"11,039",1,2,한국,한국,그린나래미디어(주)
131,에이리,2021-07-16,"2,182,640",0.0%,"4,280,380",207,411,3,31,일본,일본,(주)미디어캐슬
133,라 트라비아타,2018-03-04,"3,312,000",0.0%,"26,317,000",206,"1,834",7,19,독일,독일,(주)케빈앤컴퍼니
