■ 월별 박스오피스,,,,,,,,,,,,
- 조회일: 2022-01-20,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 202101~202101   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,,,
,,,,,,,,,,,,
● 2021년 01월,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
128,드림빌더,2021-02-10,"1,764,000",0.0%,"1,764,000",196,196,4,4,기타,기타,(주)트리플픽쳐스
131,워락,,"480,000",0.0%,"15,026,000",192,"7,481",1,11,미국,미국,
132,해리가 샐리를 만났을 때,1989-11-18,"1,768,000",0.0%,"186,284,700",191,"22,804",3,29,미국,미국,"(주)키다리이엔티,콜럼비아 픽쳐스 코포레이션"
133,초대받은 배달부,2021-01-01,"1,066,000",0.0%,"1,066,000",179,179,20,20,한국,한국,선셋 시네마
134,쇼걸,1995-11-18,"1,055,840",0.0%,"17,103,040",175,"2,971",4,33,미국,미국,"(주)콘텐츠패밀리,주식회사 풍경소리"
135,루비 스팍스,2018-05-10,"2,090,000",0.0%,"264,537,400",172,"29,980",2,20,미국,미국,(주)팝엔터테인먼트
136,미세스 잘주리 미스 안주리,2021-01-07,"935,000",0.0%,"935,000",170,170,21,21,한국,한국,(주)컨텐츠 빌리지
136,철도원,2000-02-04,"1,079,000",0.0%,"10,844,000",170,"2,151",2,27,일본,일본,
138,워터 릴리스,2020-08-13,"1,607,000",0.0%,"101,572,032",164,"11,856",1,5,프랑스,프랑스,(주)영화특별시에스엠씨
139,파티마의 기적,2020-12-03,"1,108,500",0.0%,"133,755,600",161,"16,723",5,39,미국,미국,(주)디스테이션
140,잔칫날,2020-12-02,"1,169,570",0.0%,"86,749,060",158,"11,215",4,46,한국,한국,(주)트리플픽쳐스
141,사랑의 블랙홀,1993-12-04,"1,537,000",0.0%,"18,928,000",152,"2,194",3,20,미국,미국,
142,300 스파르탄,,"380,000",0.0%,"10,661,000",150,"5,323",1,8,미국,미국,
143,닥터 지바고,1978-01-01,"761,000",0.0%,"37,655,500",145,"16,980",1,3,미국,미국,
144,남매의 여름밤,2020-08-20,"1,143,000",0.0%,"180,917,602",144,"21,774",4,40,한국,한국,그린나래미디어(주)
145,붉은 눈,2020-12-24,"765,370",0.0%,"1,965,370",139,379,2,14,일본,일본,(주)미디어캐슬
146,호프,2020-12-17,"1,025,940",0.0%,"30,516,010",137,"3,604",6,48,기타,기타,(주)이놀미디어
147,트랜짓,2020-07-02,"1,054,000",0.0%,"44,270,160",128,"5,214",2,5,독일,독일,M&M 인터내셔널
148,오버 드라이브,,"1,415,770",0.0%,"1,415,770",126,126,1,7,일본,일본,(주)미디어캐슬
149,서복,2021-04-15,"875,000",0.0%,"875,000",125,125,1,1,한국,한국,(주)씨제이이엔엠
150,블레이드 러너 2049,2017-10-12,"1,370,900",0.0%,"2,791,827,965",122,"324,163",3,13,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
150,하트,2020-02-27,"1,038,000",0.0%,"8,091,500",122,"1,034",3,25,한국,한국,필름다빈
152,평범한 연인들,,"683,000",0.0%,"2,961,000",120,514,1,7,프랑스,프랑스,
153,피아노,1993-09-25,"606,000",0.0%,"30,999,500",115,"5,680",1,4,호주,호주,(주)팝엔터테인먼트
154,일 포스티노,1996-03-09,"633,000",0.0%,"114,070,100",113,"15,260",1,4,이탈리아,"이탈리아,프랑스",(주)영화사 진진
154,문신,,"780,000",0.0%,"1,292,000",113,240,1,2,일본,일본,
156,포제서,2021-03-11,"1,161,000",0.0%,"1,161,000",111,111,1,2,캐나다,캐나다,(주)제이앤씨미디어그룹
157,레베카,,"577,000",0.0%,"37,345,800",108,"5,629",1,3,미국,미국,
158,노트북,2004-11-26,"1,080,500",0.0%,"4,636,218,200",107,"651,412",2,21,미국,미국,"(주)퍼스트런,TCO(주)더콘텐츠온,글뫼 주식회사,CJ ENM"
159,방랑기,,"711,000",0.0%,"3,293,000",104,566,1,2,일본,일본,
160,석류의 빛깔,,"556,000",0.0%,"2,803,000",101,483,1,3,소련,소련,
161,간이역,2021-02-18,"882,000",0.0%,"882,000",98,98,2,2,한국,한국,(주)드림팩트엔터테인먼트
161,맨체스터 바이 더 씨,2017-02-15,"775,000",0.0%,"448,873,900",98,"55,996",1,5,미국,미국,THE 픽쳐스
163,소년시절의 너,2020-07-09,"555,000",0.0%,"622,785,500",97,"73,638",2,9,중국,중국,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리"
164,비브르 사 비,1997-05-03,"813,000",0.0%,"24,929,000",96,"3,260",1,5,프랑스,프랑스,"알토미디어(주),㈜영화사 백두대간"
165,가스등,,"483,000",0.0%,"9,821,000",91,"4,466",1,3,미국,미국,
166,마지막 휴가,2020-12-10,"712,000",0.0%,"9,561,000",89,"1,164",1,5,한국,한국,(주)드림팩트엔터테인먼트
167,뜨거운 것이 좋아,,"939,500",0.0%,"28,856,000",87,"8,684",4,12,미국,미국,
168,에이리,2021-07-16,"926,540",0.0%,"926,540",86,86,1,5,일본,일본,(주)미디어캐슬
169,초속5센티미터,2007-06-21,"806,210",0.0%,"265,944,952",84,"44,178",1,7,일본,일본,"(주)미디어캐슬,대원디지털엔터테인먼트,(주)팝엔터테인먼트"
170,레토,2019-01-03,"892,000",0.0%,"202,443,672",83,"22,928",1,4,러시아,"러시아,프랑스","(주)엣나인필름,플레이리스트(주)"
171,어게인,2020-07-30,"812,000",0.0%,"9,435,500",82,"1,183",1,2,한국,한국,(주)에스와이코마드
171,아내는 고백한다,,"551,000",0.0%,"2,043,000",82,410,1,2,일본,일본,
173,아키츠 온천,,"525,000",0.0%,"1,080,000",81,192,1,2,일본,일본,
174,우리 생애 최고의 해,,"407,000",0.0%,"4,528,884",79,"3,575",1,3,미국,미국,
175,이름 없이 가난하고 아름답게,,"536,000",0.0%,"536,000",78,78,1,2,일본,일본,
175,해바라기,1982-11-14,"818,000",0.0%,"26,562,000",78,"11,757",1,5,이탈리아,이탈리아,
177,"딸, 아내, 엄마",,"498,000",0.0%,"1,484,000",75,246,1,2,일본,일본,
178,세이사쿠의 아내,,"494,000",0.0%,"3,197,000",74,550,1,2,일본,일본,
178,달콤한 인생,,"781,000",0.0%,"13,811,000",74,"4,248",1,7,이탈리아,"이탈리아,프랑스",
180,연애편지,,"465,000",0.0%,"465,000",73,73,1,2,일본,일본,
181,라 보엠,2020-11-29,"1,828,900",0.0%,"9,719,400",72,379,6,15,독일,독일,(주)케빈앤컴퍼니
182,페어웰,2021-02-04,"710,000",0.0%,"6,444,000",71,818,1,1,미국,"미국,중국",오드
182,프록시마 프로젝트,2020-10-15,"417,000",0.0%,"37,366,750",71,"4,343",1,13,프랑스,프랑스,(주)영화사 진진
182,담보,2020-09-29,"609,000",0.0%,"14,749,476,550",71,"1,719,592",3,32,한국,한국,(주)씨제이이엔엠
185,인 디 아일,2018-11-22,"578,000",0.0%,"87,454,900",70,"10,203",1,5,독일,독일,M&M 인터내셔널
185,토탈 이클립스,1995-12-02,"376,000",0.0%,"376,000",70,70,1,3,영국,"영국,프랑스,벨기에",
187,여자들만의 밤,,"432,000",0.0%,"432,000",69,69,1,2,일본,일본,
187,호프만 이야기,,"353,000",0.0%,"2,510,000",69,375,1,3,영국,영국,
189,갇힌 여인,2005-12-23,"359,000",0.0%,"12,339,000",68,"1,896",1,3,프랑스,"프랑스,벨기에",(주)이모션픽처스
190,가슴이여 영원히,,"447,000",0.0%,"447,000",66,66,1,2,일본,일본,
190,달이 떠오른다,,"428,000",0.0%,"428,000",66,66,1,2,일본,일본,
190,내 모든 것을 다주어도,1977-01-01,"132,000",0.0%,"2,484,000",66,"1,242",2,10,미국,미국,
190,블루 벨벳,1992-10-17,"359,000",0.0%,"43,072,900",66,"5,317",1,3,미국,미국,(주)유로커뮤니케이션
190,순수한 사람들,,"688,000",0.0%,"8,585,000",66,"1,289",1,4,이탈리아,"이탈리아,프랑스",
